Multiplicity,Summarized Transverse Momentum,Spectators Energy Deposition,Multiplicity of soft particles,Multiplicity of hard particles,Impact Parameter
38,15.3802,172.177,6,11,2
25,12.5343,175.994,5,9,1
52,22.4618,149.965,12,14,1
15,6.21939,254.438,1,2,2
28,12.2389,192.778,8,3,2
8,3.33532,259.455,1,5,2
3,0.68637,264.732,1,0,2
16,7.15093,224.785,3,2,2
23,9.59116,197.17,8,4,2
70,24.9339,112.927,21,18,1
5,4.69433,237.548,1,0,2
36,14.7563,206.342,8,8,2
75,38.7256,97.6491,14,16,1
34,17.2062,126.869,6,6,2
72,29.6291,107.062,16,21,1
104,42.7114,69.763,25,19,1
33,12.1599,137.551,10,8,2
74,30.0225,107.277,17,20,0
51,20.5365,131.414,12,10,2
58,31.0092,148.802,11,6,1
20,8.82345,179.998,4,4,2
58,19.8488,154.141,18,11,1
27,15.8361,196.776,4,9,2
23,9.80002,193.139,5,4,2
41,16.5949,167.768,13,10,2
20,5.21277,197.836,9,3,2
27,9.05045,198.213,9,5,2
29,9.84493,171.131,12,5,2
17,6.47452,171.617,5,2,2
114,46.4702,38.6734,32,31,0
36,14.1051,152.006,9,7,2
105,42.464,82.3886,28,25,1
1,0.247162,268.519,0,0,2
53,19.6664,155.628,12,10,1
93,37.0302,91.6208,25,8,1
16,6.61515,235.396,7,2,2
35,16.2104,149.938,8,5,1
56,20.053,161.427,14,13,2
58,23.4158,134.612,10,12,1
7,3.25159,225.472,3,0,2
14,5.02757,219.185,3,3,2
15,6.76869,194.951,5,3,2
16,6.73069,192.049,1,5,2
68,31.9992,86.3408,16,15,1
31,11.4265,199.211,11,5,2
77,33.3077,81.8116,18,14,0
26,12.2486,209.417,5,4,2
9,4.16023,265.14,1,2,2
39,15.7429,192.97,9,11,2
21,6.23371,214.982,8,0,2
23,11.4492,216.352,2,5,2
1,0.557991,252.064,0,1,2
49,28.1819,114.45,9,6,2
15,7.02344,221.455,2,2,2
28,10.6087,192.329,7,4,2
12,4.94641,222.922,2,1,2
8,4.07547,250.542,2,1,2
35,14.6213,161.228,9,6,2
15,4.22878,213.282,7,1,2
24,6.52591,231.196,13,5,2
44,22.1734,148.084,3,16,2
4,1.62522,253.852,0,0,2
61,27.3797,121.841,12,14,1
6,4.69302,249.634,0,0,2
72,29.6443,97.6612,12,15,0
38,14.923,155.445,9,9,1
31,11.2206,164.737,7,8,2
26,11.3324,163.366,7,4,2
15,9.41914,211.42,0,4,2
14,5.31016,244.715,3,4,2
62,23.4622,132.932,13,14,1
4,1.8006,259.431,0,0,2
99,41.0752,54.7578,22,15,0
58,22.4119,151.303,14,18,1
84,33.9117,93.7382,24,15,0
18,7.93261,216.802,1,1,2
41,19.004,171.017,11,6,2
50,18.5485,173.437,16,9,2
34,13.7875,203.241,11,3,2
17,5.46801,209.817,4,1,2
74,31.0979,101.046,18,15,1
13,6.00459,235.783,1,2,2
63,26.7506,135.604,13,12,1
11,4.39762,249.928,2,7,2
71,29.4888,116.434,17,15,1
64,27.2319,113.834,16,12,1
67,21.8083,122.824,21,6,2
43,15.6043,177.073,8,7,2
50,16.344,139.634,17,8,2
67,27.583,144.375,15,12,2
21,9.80096,241.088,5,4,2
42,17.8949,135.573,11,8,1
23,10.8962,213.106,5,3,2
95,43.0999,88.6784,21,20,1
52,20.2605,177.146,16,9,2
117,48.4502,48.6151,29,30,0
53,22.8745,187.024,13,7,2
12,5.07086,232.575,3,1,2
14,5.20394,227.478,3,3,2
58,23.9609,112.634,17,10,1
75,28.2279,88.5192,15,15,1
14,6.67651,207.289,1,4,2
73,23.8779,101.27,21,13,1
16,7.17085,251.542,3,4,2
31,11.3989,211.749,11,3,2
61,28.3073,133.413,10,13,1
3,1.5721,259.606,0,1,2
1,0.478114,258.719,0,1,2
10,2.93392,266.388,2,2,2
15,6.46296,220.835,4,0,2
27,11.5456,170.684,6,7,2
8,3.91011,245.95,0,1,2
32,11.6681,196.827,6,8,2
77,32.955,104.96,13,18,1
96,41.999,81.859,25,14,1
66,27.5232,122.605,14,12,1
23,11.8069,218.692,6,4,2
33,14.7082,202.017,5,12,1
57,25.0504,109.113,7,13,1
48,19.9335,165.847,10,9,2
24,8.81205,201.753,8,6,2
23,10.0329,199.206,8,3,2
4,4.71321,255.863,0,1,2
30,9.92021,189.036,7,4,2
49,21.5582,162.337,9,9,1
14,5.87118,239.12,2,3,2
29,13.4091,164.212,7,5,1
39,14.0755,180.015,10,9,2
60,22.5003,125.827,21,10,1
60,22.4655,131.878,15,11,2
88,35.4653,75.0458,23,19,0
88,40.2347,67.3001,21,17,1
22,8.81963,217.944,7,4,2
2,0.365046,264.549,1,0,2
81,35.1308,73.8442,23,20,1
22,9.95416,208.315,3,7,2
7,4.13613,243.944,2,2,2
37,14.7462,166.07,9,10,2
51,18.8461,122.397,13,9,1
27,12.3968,200.829,5,6,2
38,18.7401,177.285,11,9,2
25,9.78105,204.51,5,5,2
57,28.1862,129.402,11,13,1
45,18.7457,120.434,9,7,1
34,16.4432,174.762,9,6,2
36,16.1103,115.54,8,10,1
55,19.3636,171.643,15,10,1
12,4.24194,228.03,3,3,2
7,2.82534,252.175,0,2,2
50,20.0804,161.879,10,8,2
25,7.90612,228.552,9,4,2
68,29.5478,106.64,15,10,1
81,37.5551,87.2918,18,21,1
43,14.8427,148.558,14,15,1
59,25.6087,115.576,11,16,1
18,5.65781,223.394,6,3,2
36,13.9384,205.66,8,5,2
24,11.2102,216.697,5,4,2
15,8.80875,225.962,3,5,2
58,21.2995,161.631,13,11,2
14,3.84832,227.853,5,3,2
75,37.1751,85.2729,14,15,1
25,10.7823,192.84,6,5,2
6,2.71982,250.541,1,4,2
44,17.3779,183.711,13,6,1
81,35.5769,83.1838,14,19,0
7,3.24449,246.828,3,2,2
9,2.19133,253.289,4,2,2
5,1.71258,265.198,3,1,2
98,43.7675,46.8035,23,25,0
18,8.27333,223.569,1,7,2
30,16.1741,189.897,3,10,2
14,4.97965,237.686,5,2,2
36,18.0002,190.277,9,10,2
28,12.115,212.772,3,7,2
16,7.81726,208.294,1,4,2
34,12.64,179.691,8,7,2
89,37.2728,95.7325,22,23,1
12,4.4143,198.972,2,1,2
29,16.1461,179.715,4,6,2
4,1.86263,236.243,0,3,2
6,2.49807,245.482,2,1,2
9,4.95603,223.957,0,1,2
96,43.3865,60.8207,21,21,0
7,3.23715,220.534,1,2,2
39,18.5887,139.767,8,8,1
42,19.1945,184.74,11,5,2
15,7.47784,183.056,1,4,2
30,10.7505,195.916,11,8,2
73,30.0926,134.993,20,14,1
22,8.8287,211.37,5,3,2
18,5.79337,217.675,5,3,2
84,34.0504,57.2934,26,16,1
1,0.719239,265.95,0,0,2
10,5.41869,233.11,1,3,2
4,2.81224,256.767,0,1,2
59,21.5749,138.342,18,13,1
31,11.1416,190.642,9,5,2
77,32.4119,51.5341,17,14,0
7,3.27071,245.236,2,1,2
7,2.50685,248.412,2,1,2
26,9.32027,197.672,7,6,2
35,16.3762,169.51,9,8,1
78,30.369,63.1827,19,12,0
36,15.8778,159.485,12,6,2
56,24.415,116.499,10,16,0
24,9.8683,204.831,5,4,2
97,40.0527,73.8208,23,19,1
13,5.79177,253.138,2,0,2
28,11.4881,223.185,7,6,2
40,17.6079,160.043,7,12,2
39,16.6488,135.178,10,5,2
9,3.44162,256.472,1,3,2
105,41.6843,46.9696,27,18,0
12,6.16494,239.146,2,3,2
132,52.5592,40.9229,36,28,0
9,3.73424,244.043,2,1,2
57,20.1885,134.9,22,11,1
17,7.64006,212.403,2,3,2
74,27.2924,129.869,18,24,1
23,9.77549,243.977,6,2,2
19,6.65558,243.434,4,3,2
6,3.99411,233.542,1,0,2
47,23.5811,188.308,5,15,1
52,20.5336,147.762,13,11,2
91,30.9473,71.3872,29,19,0
72,28.0222,69.0617,22,10,1
45,20.0412,108.063,9,12,1
45,15.9884,127.331,10,10,2
10,5.19667,202.452,2,2,2
26,11.7159,169.26,7,3,1
17,8.23721,183.545,3,7,2
10,5.5413,225.46,0,4,2
79,28.2848,115.696,25,16,1
18,7.29473,219.362,2,4,2
38,17.0027,144.622,6,10,2
17,7.93182,241.019,1,6,2
6,3.38918,258.526,0,2,2
57,27.1024,136.576,7,12,1
31,14.0148,162.788,5,4,1
69,28.1805,96.383,19,21,1
28,11.534,217.112,6,8,2
7,2.93467,246.598,0,4,2
4,1.99272,265.72,1,1,2
49,21.0207,129.992,11,9,2
18,6.27111,229.09,7,2,2
31,11.1643,200.924,4,9,2
46,19.6109,135.997,9,12,1
34,13.6396,202.421,8,7,2
19,8.46606,206.87,6,4,2
37,16.897,158.51,11,9,1
12,5.52814,207.193,1,6,2
12,5.65014,235.304,1,2,2
6,1.59891,263.197,3,1,2
7,3.34145,243.721,0,2,2
22,8.07886,226.491,5,7,2
61,25.8434,95.6385,14,15,1
3,0.879348,253.325,0,1,2
101,41.4204,97.7687,25,20,1
99,44.2995,78.6535,19,26,1
91,39.6666,104.39,22,23,1
2,0.589,259.909,1,1,2
28,10.5787,180.139,10,8,2
10,3.72216,208.621,1,0,2
5,1.84735,265.81,0,2,2
98,39.053,67.816,30,26,1
30,13.0649,189.413,10,4,2
71,30.6906,92.0929,19,15,1
13,7.76367,228.281,3,2,2
20,9.5918,219.903,6,4,2
22,6.72299,227.048,11,5,2
8,2.04778,258.848,3,1,2
3,1.15785,244.325,1,0,2
23,10.2363,205.498,5,3,2
97,35.7244,69.4108,32,17,0
10,6.30646,230.817,1,3,2
20,9.94413,233.615,5,2,2
12,4.55299,239.101,3,2,2
60,21.9161,109.804,17,13,2
2,0.779214,262.896,1,0,2
67,28.7042,111.333,14,13,1
39,14.4245,154.722,10,9,2
13,5.23861,228.188,2,4,2
102,48.9812,81.3114,25,18,0
6,3.63898,264.547,1,0,2
5,1.94415,265.535,2,2,2
12,5.03142,222.863,2,2,2
70,31.0624,113.355,14,16,1
60,32.6319,102.464,8,13,2
48,21.9375,152.279,11,10,1
16,5.80139,222.717,7,1,2
2,0.821435,253.114,0,1,2
32,13.9914,185.027,10,4,2
45,19.9326,115.072,11,6,1
116,46.6146,34.1181,39,21,0
46,19.4655,165.139,13,11,2
24,11.602,221.21,2,6,2
4,2.53168,255.749,0,2,2
61,25.4368,128.847,20,15,1
3,1.14437,255.159,0,2,2
43,17.7306,159.394,12,12,2
77,29.2474,146.308,23,15,1
7,3.4993,231.195,1,2,2
17,7.71564,220.967,4,2,2
75,32.3293,99.3741,21,14,1
81,30.9515,102.378,13,16,1
13,4.94848,230.069,3,3,2
7,3.23769,247.411,2,2,2
13,3.71607,226.072,3,2,2
21,6.81767,210.396,7,8,2
3,0.846372,261.351,1,0,2
17,6.8349,218.91,3,2,1
66,27.2948,71.2735,16,15,1
13,4.02904,205.626,3,2,2
2,0.449845,267.274,1,0,2
31,11.1132,163.515,11,6,2
6,3.29633,209.987,0,3,2
3,0.871038,244.868,1,1,2
44,14.7641,163.195,13,6,2
42,18.1019,200.67,12,12,2
57,24.6428,99.5017,11,11,1
86,36.2811,82.4548,22,15,0
78,29.0619,116.249,19,19,1
8,3.72159,238.035,1,1,2
37,17.5025,191.921,9,8,2
24,12.3662,201.766,3,5,2
3,1.09568,259.598,1,2,2
50,21.78,181.637,9,13,1
27,10.3985,224.22,9,10,2
91,37.7166,85.4184,25,12,0
5,2.70065,244.324,0,1,2
4,1.88052,254.696,0,1,2
9,3.44753,182.232,4,2,2
32,12.414,189.66,6,8,2
68,29.6472,126.257,15,15,1
82,29.4966,121.433,23,17,1
75,27.5143,120.477,21,15,1
23,8.72356,228.081,7,4,2
69,31.3594,107.334,15,17,1
40,17.5918,157.264,8,8,2
10,5.189,246.046,2,3,2
9,2.95669,254.751,1,0,2
85,34.9423,109.421,14,14,0
81,28.5828,109.198,31,16,1
49,18.0803,159.893,17,10,2
8,2.69918,156.603,1,3,2
2,0.733144,245.773,1,0,2
20,8.64659,225.275,6,4,1
34,11.8413,185.487,12,9,2
35,17.3251,153.574,3,9,1
14,5.29998,233.54,2,5,2
37,16.8295,129.361,5,10,2
18,9.49689,193.44,5,2,2
34,13.8811,225.717,10,6,2
65,29.2855,110.565,18,12,1
58,21.9778,152.833,13,8,1
21,8.40261,212.431,3,4,2
60,25.0217,106.424,15,13,1
36,17.0614,153.102,8,7,2
40,16.7569,149.524,9,11,2
65,26.6294,125.559,13,18,1
26,11.7721,217.839,6,3,2
97,49.302,42.0572,22,23,0
88,35.094,85.1747,19,24,1
3,0.922531,263.859,1,1,2
15,6.89087,239.986,5,3,2
11,5.11413,223.715,1,2,2
2,1.06417,247.375,0,2,2
10,3.55538,235.685,3,2,2
7,2.4478,255.191,3,2,2
7,2.1431,236.397,2,1,2
1,0.415006,266.923,0,1,2
104,45.8046,67.2929,22,15,0
2,0.775625,255.793,0,1,2
46,16.5598,162.526,13,15,2
54,21.9873,162.293,11,15,1
5,1.54743,244.661,3,1,2
45,19.3918,146.023,9,11,2
7,4.80333,243.036,1,1,2
31,13.7522,186.567,10,8,2
16,6.67515,198.702,2,3,2
16,4.85824,178.336,6,1,2
2,0.382133,258.829,1,0,2
15,4.91489,238.423,5,2,2
6,2.23123,265.242,2,1,2
24,10.5647,197.504,6,6,2
66,26.6288,79.5779,19,11,1
18,7.64329,209.209,2,3,2
9,2.52781,240.445,2,1,2
109,49.6631,67.7482,26,19,1
52,17.794,151.454,14,11,2
4,2.92446,263.611,0,1,2
79,39.164,67.2258,19,15,1
86,32.3134,99.0862,21,15,1
90,33.9965,63.7907,25,8,1
67,29.8497,72.5143,18,13,1
15,6.39208,166.098,3,3,2
52,17.6972,147.396,16,11,2
16,7.66188,197.026,5,4,2
52,20.5448,134.165,14,8,2
13,4.40173,234.117,2,2,2
55,28.0167,94.0605,13,9,1
22,9.32065,197.983,6,5,2
11,4.36319,227.498,1,2,2
20,8.95084,221.21,4,7,2
8,4.33375,250.868,2,1,2
92,44.2296,70.7448,21,20,1
44,16.4911,155.194,13,10,1
39,19.6425,204.138,8,5,2
17,5.12332,224.235,7,3,2
7,4.82537,208.523,1,2,2
22,9.74583,220.371,7,2,2
6,3.22763,263.764,0,3,2
81,35.432,103.245,23,14,0
42,17.0912,151.158,15,10,2
14,6.27002,228.348,3,2,2
47,23.2138,116.095,11,9,1
3,1.57351,264.629,1,0,2
20,6.98406,209.311,7,4,2
24,10.4826,127.367,4,3,1
67,31.1539,80.4318,22,8,1
6,2.76923,257.988,1,2,2
44,19.125,127.999,10,7,1
23,8.09265,185.787,2,3,2
8,3.63882,250.079,2,2,2
14,4.82993,247.139,4,5,2
5,3.06843,252.143,0,2,2
126,54.6195,34.0577,29,19,0
77,36.6931,98.9233,17,16,1
8,4.70806,259.859,0,2,2
101,43.0391,71.9706,20,20,0
20,6.42352,185.987,6,4,2
15,8.86629,193.339,5,1,2
2,2.12222,265.433,0,0,2
9,4.51068,264.514,1,2,2
20,9.02029,216.971,6,2,2
4,1.97553,245.101,1,2,2
3,2.47924,254.19,0,1,2
49,22.1368,134.894,8,11,1
20,5.13786,243.826,10,4,2
13,3.88545,208.357,5,3,2
92,37.6419,64.8587,28,17,1
99,39.0061,40.6971,24,18,0
63,32.206,98.6477,10,12,1
24,8.91912,154.347,7,5,2
7,3.10473,254.15,1,0,2
54,18.0235,163.101,14,12,2
99,38.816,54.9618,28,12,0
16,8.91406,232.261,2,5,2
31,13.9577,173.702,8,5,2
6,3.1826,243.777,0,3,2
48,20.4352,132.127,11,5,1
90,39.9719,85.6126,17,18,1
27,14.3378,177.813,5,3,2
71,28.9981,69.0903,23,12,1
20,6.68881,215.149,7,2,2
30,13.0604,208.882,11,7,2
102,37.1614,90.1718,32,21,1
86,33.2648,82.1519,27,21,0
28,13.2045,174.819,9,5,2
26,9.76094,216.041,7,6,2
23,9.52928,237.589,4,6,2
8,4.12062,214.084,1,2,2
93,41.0357,107.19,27,23,0
33,17.108,159.776,10,6,1
93,37.4153,82.2522,30,17,1
15,5.09765,210.113,3,0,2
45,19.2618,168.007,8,7,2
83,35.5338,63.7973,19,11,0
39,16.2415,182.962,8,11,2
13,3.7342,223.621,6,3,2
14,7.59994,228.802,2,2,2
37,15.3301,163.331,10,6,2
104,41.7245,47.4573,34,21,0
88,35.7647,80.5226,20,18,0
3,1.4092,245.623,1,0,2
57,27.7478,126.387,8,16,1
12,4.43792,255.794,2,2,2
8,3.01198,260.394,1,0,2
21,10.104,199.116,1,3,2
27,14.4312,163.729,5,3,2
39,12.5626,169.817,13,9,2
29,11.7249,195.494,8,4,2
10,6.05228,217.752,1,4,2
28,13.2252,194.134,5,6,2
64,31.6446,89.8704,10,13,1
19,8.09078,246.044,2,5,2
25,9.64467,183.164,5,4,2
37,14.7494,126.141,9,9,1
29,13.4292,156.07,7,4,2
65,27.2522,127.66,16,15,1
34,13.8771,201.773,8,9,2
43,16.5447,178.223,15,8,2
113,47.7264,50.3686,33,21,0
1,0.298895,255.248,0,0,2
72,32.2946,102.821,16,17,1
17,7.29843,238.157,6,3,2
10,4.06355,249.898,1,2,2
6,2.55271,245.126,2,2,2
21,7.6967,223.564,4,8,2
8,2.65455,189.718,3,1,2
14,4.87368,225.171,5,3,2
25,13.3381,169.782,2,5,2
96,39.038,80.7812,21,24,1
78,29.1288,72.5993,22,17,1
21,8.29117,216.548,7,8,2
28,12.6096,196.979,8,8,2
19,9.68679,233.125,7,4,2
10,5.11682,246.285,3,0,2
10,5.54986,244.634,2,2,2
109,42.7643,68.2389,29,24,1
8,2.32922,207.516,3,3,2
36,14.5947,162.67,7,5,1
3,1.80839,245.881,0,0,2
74,40.6485,74.4183,13,17,1
40,17.9864,178.809,6,8,1
3,1.01502,254.738,0,1,2
10,5.4664,244.527,1,4,2
29,13.4043,198.446,6,9,2
58,23.5758,142.146,16,13,1
63,29.532,111.459,13,8,1
4,1.67716,268.997,1,1,2
20,9.41415,221.175,4,5,2
107,52.4353,40.9839,18,18,0
67,25.0238,103.658,19,8,1
23,10.0379,189.898,2,7,2
27,12.3405,173.292,2,5,2
2,0.652311,269.405,0,1,2
62,24.756,102.325,14,14,1
25,12.9697,216.409,2,8,2
6,2.52049,250.337,3,0,2
5,2.67592,240.418,0,2,2
48,21.1299,145.209,10,7,1
45,17.4628,140.4,12,8,2
2,1.68958,259.436,0,0,2
30,14.0049,186.264,5,7,2
20,8.61902,225.772,6,1,2
42,17.2443,156.804,11,6,1
41,20.4179,154.285,11,7,2
9,4.11795,233.747,1,3,2
12,3.78526,252.798,2,3,2
28,15.1561,143.478,5,3,1
72,31.3924,55.1699,17,14,0
59,28.2263,126.387,10,17,1
9,7.00734,259.936,1,0,2
15,5.45568,250.213,2,5,2
17,7.82913,250.641,5,3,2
47,18.4488,180.5,15,9,2
53,23.5743,108.252,8,10,1
20,9.30006,237.141,2,5,2
85,36.2384,60.8087,27,14,1
6,1.97846,251.387,2,2,2
74,32.4347,119.646,24,8,1
42,16.3377,169.303,14,4,2
49,16.8033,150.554,23,11,2
6,3.05122,247.041,2,2,2
38,16.7172,119.846,8,7,1
56,21.6433,139.394,15,14,1
7,1.70638,266.346,3,1,2
16,6.38104,251.704,4,5,2
1,1.02851,251.534,0,0,2
15,5.20762,220.976,5,2,2
49,21.2113,181.081,17,5,2
13,5.95471,236.608,2,2,2
57,24.6611,93.8281,17,11,1
13,6.26176,254.155,4,3,2
60,28.3804,147.335,10,15,2
104,44.1755,74.9085,23,19,0
13,6.58663,224.722,2,2,2
60,24.2141,112.367,13,13,2
42,18.7941,156.718,11,8,2
91,40.1098,84.9458,16,23,0
39,14.9324,163.18,13,13,2
66,22.0143,172.746,23,13,2
86,38.4124,92.7002,23,11,1
28,10.9007,166.077,6,10,2
40,15.5622,193.326,11,14,2
61,24.6745,123.416,13,12,1
59,22.4289,105.144,11,9,1
10,3.55009,241.464,4,2,2
28,11.3383,188.953,3,8,2
54,23.1901,131.023,13,14,1
29,12.4162,204.488,6,6,2
35,13.6065,154.684,6,9,2
4,1.43729,254.467,1,2,2
30,10.5617,205.997,10,0,1
56,24.9817,133.175,15,9,2
59,22.643,91.8891,13,12,1
27,11.1257,187.313,6,4,2
4,2.63528,239.355,0,0,2
27,11.2118,200.914,8,3,2
17,6.09514,222.748,6,6,2
10,4.76791,240.535,1,3,2
102,47.2396,55.8151,28,18,0
64,29.7683,133.61,11,16,1
2,1.39309,255.14,0,1,2
111,50.417,29.2302,18,26,0
67,29.8972,121.613,10,19,2
69,34.3665,78.9809,21,4,0
74,33.3221,97.326,17,18,1
8,3.52175,228.318,1,4,2
3,1.26737,263.727,1,1,2
10,3.75597,245.974,2,4,2
23,12.1215,194.659,5,4,2
19,8.15654,198.373,4,2,2
38,15.3227,174.416,13,7,2
25,9.67795,210.533,6,7,2
7,3.34301,258.705,1,3,2
49,21.9965,166.596,7,11,1
9,3.3997,220.343,0,2,2
4,1.87458,264.476,0,0,2
73,33.0422,119.925,16,13,1
9,4.12583,260.72,2,1,2
143,60.7751,26.2365,29,25,0
80,35.4047,78.5991,23,17,0
1,0.372896,255.932,0,0,2
26,8.81288,195.793,8,7,2
8,4.18098,255.835,2,1,2
97,38.2327,72.034,20,22,0
5,2.92075,254.899,1,2,2
27,15.6212,172.505,3,6,2
48,23.3651,158.825,11,9,2
1,0.713619,265.007,0,0,2
18,8.39939,221.436,3,3,2
27,10.4468,184.785,11,3,1
9,3.25687,252.561,3,3,2
51,23.1311,147.054,19,4,1
31,14.5187,204.653,7,3,2
13,9.06443,241.873,2,0,2
67,27.9855,90.8923,17,12,1
27,13.5727,221.155,6,5,2
21,8.25981,212.465,4,7,2
7,3.9938,267.973,1,2,2
20,9.58783,230.012,4,4,2
74,32.6121,99.4896,22,12,1
5,1.90604,265.832,1,3,2
23,10.6951,172.008,2,4,2
1,0.246062,263.948,0,0,2
84,40.8305,65.4504,14,22,1
7,3.2022,215.629,0,1,2
97,40.2004,80.0879,21,17,1
44,17.578,157.37,12,11,2
47,17.9133,176.907,13,11,2
19,9.34079,236.66,4,6,2
21,10.5308,180.655,3,5,2
20,7.29554,232.448,4,4,2
27,10.5857,163.628,6,8,2
13,5.43167,224.499,1,2,2
76,38.0394,85.9625,14,17,0
30,9.56499,205.772,10,8,2
11,6.81577,235.071,1,2,2
13,3.97024,242.892,5,4,2
80,37.9756,71.571,21,14,1
57,23.277,159.269,13,16,1
13,4.8374,249.527,1,2,2
10,4.8944,239.699,1,1,2
36,16.514,211.56,7,9,2
8,5.55894,255.834,1,2,2
14,4.88795,228.907,3,4,2
13,4.22173,249.365,4,1,2
47,18.9233,165.314,10,10,1
37,14.3218,190.838,10,5,2
52,26.4105,150.571,10,7,1
2,1.11441,268.65,0,1,2
82,31.4253,58.0946,25,9,1
20,8.12594,187.033,8,2,2
17,6.71869,242.922,6,4,2
34,14.4657,140.436,8,5,1
70,30.3116,109.715,20,16,1
107,42.7535,92.5627,31,15,0
33,12.8527,160.887,8,8,2
14,6.1408,239.338,5,2,2
35,13.1688,174.635,10,2,2
17,6.82879,246.737,6,2,2
16,6.78379,246.49,3,5,2
16,5.81386,236.883,4,4,2
25,8.60237,220.019,7,5,2
106,40.7827,61.5999,37,19,0
61,26.8552,131.791,15,15,1
42,18.3279,130.859,9,12,2
26,10.0094,209.685,7,6,2
87,39.7271,79.334,29,16,1
40,17.0924,152.314,7,8,2
62,26.4778,152.87,14,13,1
113,50.8782,40.6209,31,28,0
89,38.75,117.745,21,24,1
8,4.76359,237.557,0,4,2
99,38.9722,69.4736,25,15,0
4,1.34353,255.301,0,0,2
49,17.9569,165.325,18,8,2
31,11.0943,160.499,6,7,2
8,2.66483,257.545,2,1,2
116,47.4061,54.7782,34,20,0
73,26.7968,135.729,18,25,1
90,41.6244,80.6562,25,19,1
53,23.0168,116.939,10,13,1
3,1.74633,265.982,0,0,2
9,4.1266,259.121,0,3,2
105,42.3298,90.5653,26,24,1
14,6.77747,240.099,3,3,1
30,11.3041,181.058,9,7,2
79,32.3727,83.6253,23,10,1
54,30.0046,77.4167,11,10,0
129,55.9432,31.4,34,22,0
101,42.0027,93.396,27,20,0
39,19.9008,122.671,9,6,1
19,7.06002,237.972,5,0,2
56,20.8448,146.478,18,11,2
26,10.3142,222.633,5,8,2
28,11.0215,180.427,8,7,2
44,18.8225,162.811,8,10,1
77,31.0243,94.9256,17,15,1
3,0.955418,264.186,1,1,2
24,10.0518,196.789,5,6,1
19,9.33228,245.283,1,4,2
2,0.63848,271.236,1,1,2
20,8.96912,183.004,2,3,2
18,8.56173,222.905,2,8,2
5,2.24832,217.395,1,0,2
84,34.0894,149.668,23,17,1
18,8.75082,215.567,4,0,2
27,13.227,179.446,5,8,1
3,1.16936,260.85,0,1,2
24,9.02555,213.261,7,2,2
88,37.5515,106.707,22,20,1
14,5.44241,243.427,5,3,2
19,6.06423,237.53,5,5,2
66,30.3757,100.248,16,18,1
50,21.1148,75.5565,9,13,1
28,10.2546,206.998,9,5,2
89,33.7146,92.6,33,15,1
24,10.0982,147.756,4,6,1
8,2.80014,262.044,1,0,2
5,2.28718,254.137,2,0,2
98,40.6309,48.6763,27,22,0
30,11.326,181.621,9,4,2
28,11.7233,162.602,6,5,2
48,19.6033,173.166,13,6,1
7,3.99646,187.956,1,1,2
29,14.1278,153.633,8,4,2
62,25.3447,118.106,16,15,1
10,4.79653,249.209,2,3,2
8,2.3401,263.276,2,0,2
31,11.8489,177.759,8,9,2
87,36.5685,19.6907,19,19,1
21,8.79889,223.818,4,6,2
40,20.6906,174.671,8,9,2
8,3.57737,242.702,2,4,2
1,0.634184,260.488,0,0,2
12,5.56967,226.012,4,2,2
15,6.63123,222.275,4,2,2
15,7.68778,233.157,3,4,2
60,25.247,105.845,16,10,1
65,27.5409,110.56,21,16,1
51,20.2552,125.529,17,7,1
73,31.6734,84.0096,16,13,1
26,10.7631,209.89,5,5,2
76,32.5329,94.651,15,16,1
7,2.31896,237.895,3,2,2
61,27.8214,156.449,12,9,2
109,45.477,41.1947,29,18,0
6,2.77887,249.888,1,1,2
24,10.3194,194.564,7,6,2
53,21.926,164.568,10,8,1
9,3.16305,255.591,3,0,2
106,47.3497,39.4039,21,19,0
25,12.031,186.919,7,8,2
24,8.64898,179.582,4,2,2
18,7.46788,236.976,5,4,2
85,37.2012,49.4111,23,19,0
33,12.8414,187.16,6,5,2
20,7.71564,205.527,6,3,2
54,25.7679,131.048,14,9,1
17,7.57853,220.89,4,3,2
105,50.1704,72.251,20,18,0
2,0.882764,267.882,0,0,2
57,28.8169,156.271,14,7,2
38,12.5809,195.22,13,9,2
86,30.7161,96.2645,29,16,0
8,3.25518,232.273,2,2,2
111,47.6658,49.2926,30,25,0
12,4.5931,230.795,4,2,2
7,3.0796,263.743,1,2,2
19,7.30574,211.462,6,2,2
13,4.00686,257.984,4,3,2
25,9.13151,179.802,8,5,2
55,23.1754,119.874,13,9,2
27,11.9756,163.933,7,5,2
15,5.46747,191.516,5,2,1
46,16.9735,157.891,13,10,1
92,37.6892,56.5721,26,22,0
27,12.36,208.986,5,4,2
57,25.4956,139.609,14,9,1
20,7.12232,234.171,7,1,2
27,10.5077,205.488,9,3,2
24,11.0065,180.803,6,4,2
1,0.203496,271.858,0,0,2
7,2.47398,254.577,1,1,2
89,36.4974,87.6737,25,23,0
52,21.0871,161.176,13,6,2
124,55.7105,22.3253,27,25,0
88,40.3767,55.8213,20,15,1
9,2.96537,228.06,5,1,2
19,7.94393,209.973,2,8,2
20,10.1192,189.881,5,3,1
8,3.64053,254.099,2,1,2
84,33.8357,107.409,26,14,1
12,4.58329,241.599,3,3,2
8,2.7767,239.606,2,2,2
14,4.67867,257.539,5,3,2
27,13.536,192.339,8,3,2
57,22.429,108.458,13,12,0
26,11.9355,197.351,4,4,2
28,10.2905,184.491,8,6,2
13,6.68611,202.09,3,3,2
