Multiplicity,Summarized Transverse Momentum,Spectators Energy Deposition,Multiplicity of soft particles,Multiplicity of hard particles,Impact Parameter
7,2.52096,253.789,2,1,2
67,31.8289,123.57,15,8,2
2,0.807249,266.418,0,1,2
67,28.2301,75.6288,17,12,1
20,7.80004,206.163,9,3,1
2,0.708939,265.418,1,0,2
15,7.11425,239.559,0,2,2
11,4.39113,249.105,1,3,2
3,1.10527,269.258,0,1,2
59,23.977,131.989,16,13,2
38,15.3864,203.52,7,6,2
46,20.4486,130.414,9,9,1
45,21.5409,137.981,6,16,2
77,33.0998,92.4726,16,13,0
13,4.57773,227.809,4,1,2
10,4.33938,235.603,2,2,2
87,40.1674,82.0479,23,12,0
9,3.20159,252.035,3,2,2
21,8.62024,183.079,5,3,2
5,4.31357,258.716,0,1,2
4,1.04656,224.132,2,0,2
66,27.262,131.094,17,15,1
41,20.4668,163.027,6,8,2
21,6.51394,221.949,7,2,2
29,13.274,182.334,3,9,2
35,15.8985,147.776,8,9,2
13,7.48799,234.079,1,3,2
96,36.4447,60.7158,27,13,1
71,26.2242,123.166,18,7,1
16,6.14836,243.37,5,3,2
79,32.7263,117.343,15,15,1
2,0.560381,269.857,1,1,2
1,0.44314,257.904,0,1,2
14,4.97533,235.011,5,1,2
57,26.9714,158.954,7,10,1
36,18.1954,169.499,10,3,1
21,6.91827,214.383,6,4,2
23,10.842,198.298,3,7,2
17,5.69789,203.635,2,6,2
25,12.1984,202.53,4,10,2
17,7.43096,211.527,4,4,2
15,6.60402,232.204,5,3,2
6,3.14213,239.159,2,1,2
73,36.2722,88.7063,14,16,0
37,16.4931,206.33,8,6,2
98,38.9831,81.3079,25,22,0
15,6.44326,210.412,3,3,2
18,6.88514,245.081,4,6,2
46,20.4432,141.206,10,12,2
72,30.2243,119.92,14,12,1
20,5.96774,217.977,7,1,2
24,13.0846,179.697,2,5,2
43,16.4071,154.065,11,7,1
10,5.82211,258.185,3,2,2
47,19.9897,155.783,12,10,2
21,8.10621,211.611,7,3,2
64,22.3855,83.4508,16,13,0
13,6.57592,217.008,0,4,2
55,23.5847,118.494,11,11,2
43,16.6663,136.298,9,13,1
26,10.0371,213.236,6,3,2
100,43.9426,83.2459,20,23,1
94,42.1948,84.6901,24,20,1
89,34.9665,52.4347,30,12,0
25,10.1776,233.333,4,4,2
62,27.3409,89.1705,12,14,1
9,4.08228,258.873,2,1,2
88,37.8554,95.2028,18,13,1
60,25.5214,123.687,15,15,1
6,2.63372,243.491,1,1,2
24,8.65131,210.524,5,7,2
99,37.7777,79.5134,32,12,1
8,2.9805,249.526,2,2,2
56,19.4609,191.57,17,14,2
21,11.2109,218.835,7,3,2
14,4.40522,250.628,2,4,2
31,12.0962,195.247,8,6,2
74,35.5124,73.0601,17,13,1
80,36.7824,87.2211,12,20,1
20,9.0061,197.935,5,4,2
36,14.805,161.544,8,8,2
47,19.8306,187.771,17,10,2
70,33.5586,120.941,12,18,1
70,28.2786,62.6656,19,12,0
47,17.8226,150.702,14,6,1
82,31.5061,96.7361,21,23,0
14,5.80974,226.002,3,1,2
49,19.2289,151.256,16,8,1
50,18.7437,153.529,13,9,1
14,5.0398,213.766,4,1,2
16,6.84919,238.092,5,1,2
116,52.8738,50.3772,28,22,0
82,33.1995,81.7475,19,14,0
26,9.77927,221.413,9,4,2
13,4.14127,244.649,6,5,2
57,21.5914,153.377,14,9,1
20,7.22726,193.841,7,4,2
5,0.986683,253.256,3,0,2
76,35.4105,111.235,13,20,1
13,3.70055,249.032,7,3,2
67,26.1998,141.022,13,11,1
73,35.0744,68.0257,17,15,1
40,17.1707,135.608,11,6,1
91,35.0713,80.4866,16,26,0
1,0.249213,274.735,0,0,2
47,19.683,157.347,10,13,1
41,16.43,177.059,13,5,1
27,11.3107,210.108,4,9,2
64,23.4949,105.036,21,11,1
25,10.2015,178.812,4,6,1
31,11.4101,195.221,7,10,2
35,12.3438,195.973,13,8,2
59,26.5505,119.802,9,12,1
22,8.28644,231.318,6,5,2
27,12.2737,186.365,5,9,2
14,5.5026,263.74,5,4,2
66,29.2096,105.236,16,11,1
100,39.5214,53.9201,33,21,0
8,3.96057,264.57,2,2,2
109,44.2971,56.3574,29,24,0
62,26.5878,141.357,15,11,1
101,45.6111,59.8653,21,30,0
4,2.81196,241.505,0,2,2
3,1.12332,245.398,1,0,2
19,9.46156,214.028,2,8,2
103,42.0487,71.8905,23,19,1
8,2.91889,233.124,4,1,2
12,4.83546,246.14,2,3,2
31,12.4987,189.123,10,4,2
12,5.87851,263.249,1,3,2
58,24.2928,143.351,17,10,2
71,29.7812,136.226,18,18,1
34,13.7732,186.325,6,5,1
113,44.7356,61.0939,27,16,1
13,5.69668,243.811,3,3,2
41,20.8943,127.464,6,9,1
45,17.6154,154.835,14,8,1
38,17.8596,158.14,7,12,2
70,29.4587,68.2821,14,16,1
112,43.1995,51.3971,35,22,1
38,14.6159,160.725,11,11,1
74,26.2189,119.022,21,8,1
50,20.2151,184.366,13,16,2
27,10.4071,160.647,7,6,2
6,1.74984,264.085,2,2,2
